Member_number,Date,products,Ratings
2183,7/6/2014,other vegetables,4
2094,7/5/2014,other vegetables,4
1477,21-11-2014,meat,4
4211,16-09-2014,tropical fruit,4
4046,26-11-2014,citrus fruit,4
4836,28-05-2014,chocolate,5
3773,17-03-2014,pastry,2
1774,26-11-2014,yogurt,1
2158,23-06-2014,pot plants,5
2154,31-05-2014,hygiene articles,1
1991,13-05-2014,soda,5
3502,9/9/2014,soda,5
3465,19-02-2014,canned fish,2
1235,25-06-2014,other vegetables,4
2978,27-08-2014,pasta,2
1809,2/1/2014,root vegetables,5
3359,25-07-2014,white wine,4
4877,27-08-2014,root vegetables,5
3956,20-05-2014,hamburger meat,2
3716,13-05-2014,pork,1
2408,10/11/2014,citrus fruit,4
3549,10/6/2014,canned beer,4
1863,24-11-2014,UHT-milk,2
4956,4/3/2014,red/blush wine,5
2771,25-06-2014,coffee,3
2507,15-05-2014,brown bread,4
2193,26-11-2014,root vegetables,5
1504,29-12-2014,tropical fruit,4
1393,25-06-2014,chocolate,5
3852,31-08-2014,other vegetables,4
1911,10/3/2014,tropical fruit,4
1627,11/8/2014,rolls/buns,3
3387,9/5/2014,curd,2
1931,8/12/2014,whole milk,2
4316,28-02-2014,whole milk,2
3872,4/4/2014,yogurt,1
1492,2/5/2014,whole milk,2
2898,23-07-2014,yogurt,1
3832,12/1/2014,whole milk,2
3887,24-09-2014,pork,1
1823,16-04-2014,whole milk,2
1418,2/12/2014,cake bar,4
3931,9/10/2014,tropical fruit,4
2059,15-03-2014,sausage,2
1004,4/2/2014,pip fruit,1
1507,4/4/2014,hamburger meat,2
3185,4/3/2014,pork,1
3369,18-07-2014,root vegetables,5
3407,1/9/2014,bottled water,4
1610,23-12-2014,bottled beer,3
2291,26-03-2014,meat,4
4868,4/4/2014,pot plants,5
1051,17-09-2014,pork,1
1785,23-02-2014,other vegetables,4
4097,3/10/2014,beef,3
1207,9/12/2014,whole milk,2
4002,13-01-2014,seasonal products,2
4266,2/9/2014,specialty bar,5
2873,28-01-2014,soda,5
4220,5/5/2014,rolls/buns,3
1218,28-05-2014,meat,4
4956,5/7/2014,mayonnaise,5
2688,23-01-2014,sliced cheese,1
1082,13-05-2014,beef,3
3844,13-11-2014,pot plants,5
4314,5/10/2014,sausage,2
4404,13-03-2014,other vegetables,4
4388,18-02-2014,tropical fruit,4
2547,9/3/2014,pip fruit,1
2157,2/6/2014,grapes,2
1118,7/11/2014,pip fruit,1
3941,10/11/2014,berries,5
1799,16-12-2014,tropical fruit,4
2869,2/8/2014,bottled water,4
3161,9/10/2014,whole milk,2
3008,15-04-2014,root vegetables,5
1619,20-07-2014,dessert,2
1970,5/6/2014,brown bread,4
2860,11/1/2014,tropical fruit,4
3456,24-12-2014,softener,1
4394,18-07-2014,pork,1
1027,14-05-2014,softener,1
3466,31-05-2014,other vegetables,4
2810,8/2/2014,root vegetables,5
1023,30-12-2014,sausage,2
3045,29-01-2014,dental care,4
4200,23-06-2014,hamburger meat,2
4280,6/9/2014,domestic eggs,3
4257,3/2/2014,UHT-milk,2
3720,22-03-2014,citrus fruit,4
3927,26-09-2014,whipped/sour cream,4
1269,7/10/2014,red/blush wine,5
2907,19-12-2014,ham,1
3784,30-04-2014,root vegetables,5
4770,15-05-2014,root vegetables,5
3287,13-05-2014,root vegetables,5
4003,14-11-2014,liver loaf,1
1723,21-07-2014,citrus fruit,4
3832,23-03-2014,tropical fruit,4
3758,2/1/2014,rolls/buns,3
3881,4/6/2014,beverages,2
3596,21-01-2014,frozen vegetables,4
4765,8/1/2014,beef,3
4304,18-07-2014,shopping bags,3
2065,28-11-2014,waffles,1
1935,24-04-2014,other vegetables,4
1764,20-09-2014,yogurt,1
3565,15-04-2014,chocolate,5
3559,17-07-2014,rolls/buns,3
2499,20-07-2014,whipped/sour cream,4
1474,13-08-2014,meat,4
2289,5/2/2014,berries,5
1522,7/1/2014,whole milk,2
1887,8/7/2014,pork,1
3109,25-03-2014,other vegetables,4
3998,10/9/2014,root vegetables,5
3181,8/5/2014,pip fruit,1
1813,1/12/2014,meat,4
3171,17-10-2014,other vegetables,4
4944,20-01-2014,organic sausage,5
4710,17-02-2014,other vegetables,4
2104,2/7/2014,pastry,2
1743,1/12/2014,root vegetables,5
2949,1/6/2014,pork,1
4416,2/10/2014,other vegetables,4
2000,4/7/2014,dish cleaner,1
4114,27-03-2014,root vegetables,5
1435,6/2/2014,specialty chocolate,5
3841,29-07-2014,vinegar,1
3323,6/3/2014,berries,5
1184,24-06-2014,beef,3
3378,13-03-2014,canned fish,2
1561,17-10-2014,dishes,3
2817,25-09-2014,baking powder,3
4272,25-11-2014,napkins,3
4376,25-05-2014,fruit/vegetable juice,4
3867,24-07-2014,pastry,2
1702,12/1/2014,yogurt,1
2381,27-04-2014,pip fruit,1
1948,23-09-2014,whole milk,2
2868,22-04-2014,soda,5
4531,12/5/2014,beverages,2
1370,9/9/2014,fruit/vegetable juice,4
1102,30-09-2014,yogurt,1
2473,9/11/2014,whole milk,2
2266,30-08-2014,other vegetables,4
1655,4/11/2014,pip fruit,1
2649,2/8/2014,bottled water,4
1740,21-02-2014,root vegetables,5
4617,18-11-2014,yogurt,1
2921,4/3/2014,hard cheese,2
2533,23-12-2014,hamburger meat,2
3168,26-03-2014,brown bread,4
2993,23-10-2014,onions,1
4292,6/4/2014,frozen potato products,2
1674,30-06-2014,chicken,4
2092,1/4/2014,salty snack,1
1062,7/11/2014,ham,1
1015,28-06-2014,fruit/vegetable juice,4
4149,11/2/2014,tropical fruit,4
3476,5/2/2014,frozen meals,1
4786,13-07-2014,chocolate,5
2054,6/8/2014,white bread,5
2518,6/12/2014,oil,3
4771,26-12-2014,other vegetables,4
4666,27-09-2014,yogurt,1
4513,30-01-2014,dessert,2
1225,29-11-2014,butter milk,5
3496,11/8/2014,misc. beverages,5
1720,13-09-2014,herbs,5
4091,31-03-2014,packaged fruit/vegetables,1
3477,17-07-2014,tropical fruit,4
3227,20-08-2014,bottled beer,3
2123,6/6/2014,cream cheese ,1
4837,17-12-2014,whole milk,2
4316,31-08-2014,meat,4
3263,30-06-2014,chocolate,5
3421,13-06-2014,pet care,2
4819,23-04-2014,meat spreads,2
1294,7/10/2014,waffles,1
1309,6/5/2014,pastry,2
2589,7/6/2014,whole milk,2
1234,14-04-2014,yogurt,1
2685,12/4/2014,butter,4
1395,24-11-2014,sausage,2
2480,1/3/2014,other vegetables,4
4303,17-01-2014,sugar,2
3915,24-09-2014,other vegetables,4
3646,12/5/2014,rolls/buns,3
2443,22-05-2014,pip fruit,1
4616,16-10-2014,root vegetables,5
2325,6/5/2014,onions,1
1660,15-06-2014,misc. beverages,5
3982,22-11-2014,jam,4
3181,7/10/2014,domestic eggs,3
3251,20-10-2014,soda,5
4846,28-10-2014,whole milk,2
4511,18-08-2014,pork,1
1689,19-09-2014,beef,3
3789,10/3/2014,pot plants,5
2737,26-12-2014,other vegetables,4
1374,1/9/2014,sugar,2
3948,20-02-2014,waffles,1
4544,15-05-2014,bottled water,4
2758,30-06-2014,whole milk,2
1659,5/7/2014,dishes,3
4988,13-12-2014,misc. beverages,5
4073,26-04-2014,detergent,2
1212,25-05-2014,beef,3
3657,29-05-2014,butter,4
1187,8/6/2014,soda,5
4251,2/7/2014,ham,1
1100,20-02-2014,hamburger meat,2
1410,23-05-2014,yogurt,1
3871,16-08-2014,whole milk,2
1756,22-09-2014,UHT-milk,2
4780,16-08-2014,shopping bags,3
4435,27-01-2014,root vegetables,5
3212,9/4/2014,coffee,3
2871,3/5/2014,whole milk,2
2645,23-10-2014,soda,5
3469,11/4/2014,whole milk,2
2349,12/10/2014,female sanitary products,1
3247,3/9/2014,pip fruit,1
1202,21-04-2014,coffee,3
1512,29-04-2014,bottled beer,3
3294,1/3/2014,root vegetables,5
3142,12/2/2014,tropical fruit,4
4632,18-09-2014,root vegetables,5
3411,30-11-2014,whole milk,2
1200,27-02-2014,brown bread,4
1107,26-09-2014,shopping bags,3
4070,8/3/2014,specialty chocolate,5
3901,30-11-2014,curd,2
3615,13-06-2014,sugar,2
3857,30-12-2014,soda,5
3142,1/9/2014,pasta,2
2011,18-05-2014,liquor,4
3414,2/4/2014,bottled water,4
3013,25-03-2014,whole milk,2
3053,13-12-2014,rolls/buns,3
2270,18-12-2014,tropical fruit,4
3844,25-09-2014,beverages,2
1578,29-11-2014,frozen vegetables,4
1364,11/8/2014,other vegetables,4
4902,21-11-2014,salty snack,1
2696,23-12-2014,whole milk,2
1449,18-07-2014,whole milk,2
3277,30-08-2014,fruit/vegetable juice,4
1719,14-11-2014,whole milk,2
3111,30-10-2014,soda,5
4135,22-02-2014,other vegetables,4
2261,21-01-2014,tropical fruit,4
3835,15-10-2014,fruit/vegetable juice,4
4379,26-08-2014,rolls/buns,3
4284,6/10/2014,soda,5
2815,23-09-2014,dessert,2
4394,14-02-2014,other vegetables,4
1400,11/10/2014,rolls/buns,3
2964,3/10/2014,oil,3
2457,9/7/2014,other vegetables,4
3725,8/3/2014,coffee,3
2041,19-06-2014,root vegetables,5
1259,10/6/2014,hamburger meat,2
1235,4/10/2014,condensed milk,2
4820,2/7/2014,other vegetables,4
4690,20-12-2014,salty snack,1
4308,29-11-2014,soda,5
2944,31-07-2014,beverages,2
4809,21-06-2014,brown bread,4
2803,4/3/2014,shopping bags,3
2925,24-11-2014,citrus fruit,4
4329,6/4/2014,dishes,3
2811,20-06-2014,butter milk,5
1527,29-01-2014,other vegetables,4
2909,6/9/2014,whole milk,2
2045,11/4/2014,yogurt,1
2170,24-02-2014,fish,5
3962,15-11-2014,rolls/buns,3
3065,14-03-2014,whole milk,2
1425,6/2/2014,citrus fruit,4
2692,4/10/2014,butter,4
4893,27-06-2014,curd,2
1528,1/2/2014,frozen vegetables,4
2587,29-10-2014,flower (seeds),5
4065,13-01-2014,brown bread,4
1616,7/11/2014,whole milk,2
1476,16-01-2014,yogurt,1
3133,12/7/2014,butter milk,5
4770,22-02-2014,butter,4
4725,19-12-2014,brown bread,4
3293,17-10-2014,rolls/buns,3
3244,21-06-2014,canned fish,2
4941,9/9/2014,coffee,3
4840,27-08-2014,onions,1
3439,14-05-2014,frozen vegetables,4
4609,1/5/2014,beef,3
3818,11/3/2014,root vegetables,5
1001,12/12/2014,whole milk,2
4523,11/7/2014,ham,1
2349,28-05-2014,yogurt,1
2026,7/1/2014,other vegetables,4
3587,3/8/2014,other vegetables,4
3959,5/7/2014,hamburger meat,2
2901,9/8/2014,whipped/sour cream,4
2689,19-04-2014,long life bakery product,2
1844,27-04-2014,pip fruit,1
3629,5/7/2014,red/blush wine,5
4991,28-08-2014,whole milk,2
1003,15-10-2014,root vegetables,5
4455,18-06-2014,root vegetables,5
2662,5/12/2014,tropical fruit,4
2948,20-07-2014,yogurt,1
4281,14-08-2014,frozen dessert,3
1880,17-09-2014,other vegetables,4
4858,17-08-2014,other vegetables,4
2907,25-03-2014,margarine,3
2339,28-01-2014,bottled water,4
3479,6/6/2014,herbs,5
2562,14-11-2014,yogurt,1
3204,29-05-2014,tropical fruit,4
3200,27-10-2014,yogurt,1
4950,20-04-2014,cream,2
1279,13-02-2014,oil,3
2245,19-02-2014,fish,5
1856,26-04-2014,chocolate,5
1966,23-10-2014,other vegetables,4
1714,22-01-2014,mustard,1
2133,4/12/2014,sausage,2
1147,4/3/2014,frozen meals,1
4991,20-01-2014,processed cheese,4
2850,18-01-2014,organic sausage,5
4159,11/7/2014,canned fish,2
1902,14-12-2014,shopping bags,3
4675,9/7/2014,coffee,3
4544,29-10-2014,canned beer,4
4715,10/12/2014,soda,5
2020,1/2/2014,beef,3
3814,5/1/2014,bottled water,4
3351,13-06-2014,citrus fruit,4
1721,7/3/2014,bottled water,4
4365,23-01-2014,other vegetables,4
3724,5/7/2014,sweet spreads,1
3160,13-11-2014,chocolate,5
3786,2/4/2014,berries,5
1204,12/1/2014,softener,1
1240,15-07-2014,onions,1
2504,10/2/2014,condensed milk,2
4897,13-06-2014,dishes,3
3491,11/12/2014,rolls/buns,3
3046,22-08-2014,citrus fruit,4
4820,23-04-2014,onions,1
4898,3/4/2014,tropical fruit,4
2919,14-01-2014,rolls/buns,3
1354,4/5/2014,bottled beer,3
4424,31-08-2014,margarine,3
1320,19-07-2014,soft cheese,3
4422,19-10-2014,pip fruit,1
3533,22-08-2014,hamburger meat,2
3721,10/12/2014,tropical fruit,4
3107,2/1/2014,rolls/buns,3
4908,13-11-2014,coffee,3
1684,26-02-2014,canned beer,4
3452,23-12-2014,canned beer,4
4052,17-05-2014,UHT-milk,2
1520,30-04-2014,other vegetables,4
2063,26-05-2014,onions,1
2353,14-11-2014,other vegetables,4
3450,20-05-2014,beverages,2
4056,3/10/2014,soda,5
4865,20-05-2014,chocolate,5
1395,20-05-2014,long life bakery product,2
2325,27-02-2014,fruit/vegetable juice,4
4887,2/1/2014,long life bakery product,2
3356,30-09-2014,UHT-milk,2
3827,11/9/2014,pork,1
1546,2/4/2014,white bread,5
1327,4/12/2014,pip fruit,1
2682,20-02-2014,other vegetables,4
4937,22-06-2014,rolls/buns,3
3817,24-11-2014,newspapers,1
4314,27-01-2014,margarine,3
4146,3/1/2014,dessert,2
4749,11/9/2014,root vegetables,5
3222,16-01-2014,rolls/buns,3
1937,7/3/2014,other vegetables,4
1440,1/1/2014,other vegetables,4
1682,5/7/2014,citrus fruit,4
1421,30-08-2014,pip fruit,1
2774,26-03-2014,other vegetables,4
2009,11/12/2014,rolls/buns,3
1366,19-02-2014,canned beer,4
1432,12/3/2014,frozen vegetables,4
2758,24-10-2014,pip fruit,1
1209,5/3/2014,yogurt,1
3695,12/10/2014,citrus fruit,4
1353,12/9/2014,rolls/buns,3
4351,26-11-2014,waffles,1
4277,3/8/2014,yogurt,1
4532,13-11-2014,pip fruit,1
4281,9/3/2014,yogurt,1
2025,13-11-2014,coffee,3
1708,9/7/2014,other vegetables,4
3153,21-06-2014,onions,1
4584,22-04-2014,other vegetables,4
3948,10/4/2014,soda,5
4082,3/8/2014,berries,5
1169,15-01-2014,other vegetables,4
1220,16-11-2014,sausage,2
1438,18-05-2014,butter,4
2071,31-07-2014,pip fruit,1
4802,10/8/2014,tropical fruit,4
2868,15-06-2014,citrus fruit,4
2390,28-11-2014,rolls/buns,3
3649,23-09-2014,rolls/buns,3
1834,21-12-2014,berries,5
1578,26-03-2014,whole milk,2
4060,11/10/2014,tropical fruit,4
3717,27-01-2014,pip fruit,1
1501,3/11/2014,whole milk,2
4654,6/5/2014,rolls/buns,3
1022,22-02-2014,beef,3
4822,2/7/2014,rolls/buns,3
4473,3/6/2014,bottled beer,3
1099,29-08-2014,root vegetables,5
2020,11/4/2014,hamburger meat,2
4227,25-07-2014,citrus fruit,4
1113,2/2/2014,curd,2
4542,5/12/2014,other vegetables,4
1607,5/10/2014,other vegetables,4
4825,23-04-2014,soda,5
4467,11/1/2014,white bread,5
3146,7/2/2014,root vegetables,5
3508,10/3/2014,root vegetables,5
4712,3/11/2014,pork,1
3535,16-02-2014,whole milk,2
4404,10/10/2014,candy,5
2934,30-10-2014,tropical fruit,4
4080,23-04-2014,citrus fruit,4
1266,27-08-2014,other vegetables,4
4244,5/12/2014,oil,3
2545,13-04-2014,herbs,5
3427,5/6/2014,meat,4
2174,18-09-2014,rolls/buns,3
3849,9/10/2014,pork,1
4015,10/11/2014,whole milk,2
3123,15-12-2014,whole milk,2
3366,19-12-2014,white wine,4
4916,7/11/2014,liquor,4
4698,24-07-2014,cleaner,1
1137,16-05-2014,nut snack,5
1781,15-03-2014,specialty bar,5
1519,28-10-2014,butter,4
4262,17-08-2014,domestic eggs,3
4625,3/1/2014,white bread,5
4823,22-02-2014,whole milk,2
2669,20-03-2014,white bread,5
1417,14-10-2014,whipped/sour cream,4
2311,26-10-2014,soda,5
4387,22-10-2014,frozen dessert,3
4833,17-08-2014,domestic eggs,3
1002,26-04-2014,butter,4
1019,10/12/2014,hamburger meat,2
1548,1/10/2014,long life bakery product,2
2350,3/4/2014,other vegetables,4
4599,23-04-2014,pastry,2
2983,28-02-2014,tropical fruit,4
1994,21-07-2014,soda,5
2611,16-02-2014,roll products ,2
2649,3/9/2014,baking powder,3
4941,12/6/2014,whole milk,2
1836,13-04-2014,whole milk,2
1878,9/6/2014,rolls/buns,3
3184,10/9/2014,sliced cheese,1
1924,20-05-2014,other vegetables,4
3266,30-10-2014,UHT-milk,2
4807,21-05-2014,curd,2
1746,21-03-2014,root vegetables,5
3267,27-03-2014,other vegetables,4
3216,2/11/2014,other vegetables,4
3629,5/11/2014,citrus fruit,4
1142,22-05-2014,newspapers,1
1178,15-06-2014,tropical fruit,4
2391,1/11/2014,whole milk,2
1753,30-07-2014,hygiene articles,1
4607,9/6/2014,pastry,2
2762,27-10-2014,pastry,2
1959,23-03-2014,pip fruit,1
2776,14-05-2014,specialty cheese,4
4554,18-07-2014,white bread,5
4367,22-08-2014,rolls/buns,3
3265,9/7/2014,whole milk,2
4665,12/1/2014,soda,5
4224,6/10/2014,grapes,2
1759,28-07-2014,bottled water,4
4712,21-09-2014,whole milk,2
1364,7/1/2014,citrus fruit,4
4465,4/1/2014,specialty chocolate,5
4635,2/2/2014,baking powder,3
1852,4/1/2014,tropical fruit,4
4551,7/1/2014,mayonnaise,5
1134,18-02-2014,cream cheese ,1
3151,20-08-2014,meat,4
2593,16-04-2014,UHT-milk,2
2318,10/12/2014,frozen fish,2
1483,13-01-2014,meat,4
1892,5/8/2014,citrus fruit,4
4184,17-09-2014,pip fruit,1
2741,10/8/2014,UHT-milk,2
2461,24-01-2014,bottled water,4
3608,24-01-2014,house keeping products,1
3038,30-12-2014,rolls/buns,3
1772,4/2/2014,sugar,2
3548,20-10-2014,dessert,2
3010,11/5/2014,root vegetables,5
4010,11/8/2014,yogurt,1
4466,14-07-2014,whole milk,2
4191,5/8/2014,citrus fruit,4
1578,24-08-2014,napkins,3
2837,13-10-2014,dessert,2
4860,25-06-2014,citrus fruit,4
2047,12/5/2014,sausage,2
4649,5/9/2014,canned beer,4
3247,9/3/2014,rice,4
4192,22-02-2014,butter,4
3491,26-06-2014,root vegetables,5
1025,6/2/2014,coffee,3
3556,17-12-2014,butter milk,5
3698,11/7/2014,root vegetables,5
1534,2/7/2014,other vegetables,4
1327,14-12-2014,grapes,2
1716,16-08-2014,brown bread,4
4500,15-11-2014,rolls/buns,3
1097,3/5/2014,shopping bags,3
3614,13-04-2014,other vegetables,4
1717,26-07-2014,pip fruit,1
1981,1/11/2014,whole milk,2
2320,25-03-2014,yogurt,1
3088,11/3/2014,newspapers,1
4920,9/10/2014,whole milk,2
4338,25-10-2014,pip fruit,1
2093,1/6/2014,napkins,3
4212,12/5/2014,organic sausage,5
3817,12/3/2014,red/blush wine,5
2552,8/10/2014,butter,4
2524,3/8/2014,white wine,4
2454,12/7/2014,red/blush wine,5
1498,29-10-2014,citrus fruit,4
2222,3/4/2014,pork,1
3905,25-01-2014,fruit/vegetable juice,4
3485,10/11/2014,rolls/buns,3
4403,24-06-2014,tropical fruit,4
2661,14-12-2014,whole milk,2
2415,14-09-2014,pastry,2
4165,16-09-2014,beef,3
1838,14-06-2014,other vegetables,4
4129,28-02-2014,meat spreads,2
3468,2/6/2014,whipped/sour cream,4
3515,13-04-2014,sliced cheese,1
4683,9/5/2014,chicken,4
4415,22-08-2014,bottled water,4
3778,27-04-2014,pip fruit,1
2406,27-10-2014,root vegetables,5
2726,27-11-2014,pastry,2
3370,14-12-2014,other vegetables,4
4485,27-01-2014,dessert,2
3266,6/9/2014,brown bread,4
3115,9/7/2014,zwieback,2
2479,5/3/2014,frozen meals,1
1628,13-11-2014,hamburger meat,2
1023,13-06-2014,domestic eggs,3
1089,5/12/2014,yogurt,1
1386,21-12-2014,pork,1
3221,9/9/2014,soda,5
2623,22-11-2014,whole milk,2
2142,23-05-2014,bottled water,4
4164,3/3/2014,curd,2
1277,25-01-2014,butter,4
2927,1/9/2014,packaged fruit/vegetables,1
4455,9/10/2014,margarine,3
4042,15-07-2014,tropical fruit,4
1239,18-04-2014,meat,4
1542,13-09-2014,yogurt,1
4208,3/2/2014,pork,1
4106,25-07-2014,tropical fruit,4
1853,25-03-2014,citrus fruit,4
2701,16-08-2014,whole milk,2
3539,19-03-2014,liquor (appetizer),2
1428,18-10-2014,berries,5
2424,23-03-2014,curd,2
1528,12/6/2014,whole milk,2
3150,11/8/2014,hamburger meat,2
3635,23-12-2014,beef,3
4078,27-09-2014,pip fruit,1
3606,11/11/2014,other vegetables,4
4066,24-01-2014,hamburger meat,2
4508,22-11-2014,rolls/buns,3
2284,24-03-2014,bottled water,4
3450,26-11-2014,pastry,2
4097,18-05-2014,butter,4
4096,20-04-2014,ham,1
2637,18-09-2014,whole milk,2
3007,2/12/2014,canned beer,4
1859,5/11/2014,tropical fruit,4
1479,29-03-2014,pip fruit,1
1719,25-04-2014,soda,5
1618,13-07-2014,bottled beer,3
3976,5/10/2014,other vegetables,4
2482,21-01-2014,pip fruit,1
4899,27-08-2014,root vegetables,5
2364,23-07-2014,pip fruit,1
2478,25-02-2014,napkins,3
3680,25-10-2014,curd,2
2552,20-06-2014,female sanitary products,1
3676,9/6/2014,whipped/sour cream,4
1855,16-07-2014,other vegetables,4
3582,29-11-2014,berries,5
2688,21-12-2014,whole milk,2
3782,14-05-2014,whole milk,2
1427,12/6/2014,brown bread,4
4310,7/7/2014,specialty chocolate,5
2803,26-10-2014,coffee,3
4601,5/1/2014,pot plants,5
2027,26-02-2014,frozen meals,1
1398,23-08-2014,specialty chocolate,5
1896,25-07-2014,sugar,2
3731,18-08-2014,roll products ,2
2764,18-04-2014,whipped/sour cream,4
3909,16-09-2014,tropical fruit,4
2857,12/12/2014,pip fruit,1
2192,21-11-2014,margarine,3
1507,6/6/2014,bottled water,4
4617,3/11/2014,newspapers,1
3920,17-02-2014,soda,5
1843,24-09-2014,soda,5
2946,20-09-2014,rolls/buns,3
1087,16-12-2014,soda,5
2014,19-12-2014,pip fruit,1
1473,27-02-2014,soda,5
3095,17-08-2014,root vegetables,5
4461,13-05-2014,cake bar,4
3879,3/12/2014,soda,5
3083,9/6/2014,tropical fruit,4
1114,25-04-2014,chocolate,5
2390,26-08-2014,other vegetables,4
1625,10/1/2014,pot plants,5
4842,19-10-2014,domestic eggs,3
4798,19-05-2014,pip fruit,1
3127,24-03-2014,pork,1
4051,18-12-2014,bottled water,4
1004,19-08-2014,root vegetables,5
3782,21-09-2014,shopping bags,3
2974,1/1/2014,berries,5
1938,25-09-2014,soda,5
4973,28-05-2014,yogurt,1
3065,28-12-2014,dessert,2
2704,2/8/2014,vinegar,1
3083,19-09-2014,domestic eggs,3
4442,8/4/2014,pastry,2
2147,15-09-2014,canned vegetables,1
4594,24-12-2014,whole milk,2
1108,22-08-2014,salty snack,1
4277,4/9/2014,brown bread,4
2058,8/5/2014,frozen vegetables,4
1041,29-06-2014,tropical fruit,4
4494,11/6/2014,berries,5
3246,14-01-2014,pot plants,5
2264,17-10-2014,other vegetables,4
4931,28-08-2014,yogurt,1
3457,17-03-2014,chicken,4
4444,8/12/2014,frozen meals,1
1724,4/4/2014,chicken,4
1966,14-02-2014,vinegar,1
4126,6/11/2014,berries,5
3430,12/1/2014,other vegetables,4
2054,21-11-2014,yogurt,1
3667,11/5/2014,soda,5
3329,8/9/2014,white bread,5
3841,27-09-2014,margarine,3
2687,16-12-2014,curd,2
1328,14-08-2014,tropical fruit,4
4211,3/4/2014,bottled beer,3
2604,17-09-2014,grapes,2
1937,26-07-2014,sugar,2
3856,3/3/2014,onions,1
3484,25-12-2014,beef,3
1549,2/3/2014,domestic eggs,3
1702,5/5/2014,pastry,2
3694,1/8/2014,whole milk,2
4608,20-07-2014,cream cheese ,1
2376,15-06-2014,specialty chocolate,5
3282,10/7/2014,ice cream,3
2349,14-03-2014,liquor,4
2936,7/3/2014,onions,1
2311,13-03-2014,citrus fruit,4
1661,21-07-2014,dessert,2
2652,4/9/2014,ham,1
2049,2/4/2014,other vegetables,4
4855,16-06-2014,cat food,4
2715,23-05-2014,pip fruit,1
4132,2/3/2014,yogurt,1
1887,3/2/2014,yogurt,1
1832,21-08-2014,whole milk,2
1176,21-11-2014,frozen potato products,2
3382,13-11-2014,dessert,2
1444,7/3/2014,whole milk,2
1702,13-05-2014,pork,1
3447,30-06-2014,margarine,3
4759,24-01-2014,chewing gum,3
2536,9/2/2014,specialty bar,5
3666,12/4/2014,canned beer,4
3767,6/7/2014,onions,1
3271,25-02-2014,specialty fat,2
3654,17-06-2014,tropical fruit,4
4871,7/7/2014,chocolate,5
1217,3/12/2014,citrus fruit,4
1616,3/5/2014,margarine,3
1329,22-02-2014,dessert,2
4603,17-11-2014,whole milk,2
4431,10/5/2014,brown bread,4
3913,11/4/2014,canned beer,4
2325,6/11/2014,pastry,2
4117,3/8/2014,yogurt,1
2174,5/1/2014,brown bread,4
4541,3/4/2014,root vegetables,5
3670,6/5/2014,chocolate,5
3719,26-10-2014,whole milk,2
3499,13-07-2014,canned beer,4
1749,9/12/2014,ham,1
1572,17-05-2014,chicken,4
2271,3/2/2014,root vegetables,5
3834,18-05-2014,rolls/buns,3
1146,23-05-2014,yogurt,1
4298,22-03-2014,whole milk,2
4164,25-09-2014,soda,5
3998,8/1/2014,ice cream,3
3786,21-10-2014,mayonnaise,5
3285,21-10-2014,tropical fruit,4
3159,18-04-2014,pip fruit,1
3820,26-07-2014,butter milk,5
1808,15-12-2014,sugar,2
4860,22-02-2014,rolls/buns,3
1928,23-05-2014,bottled beer,3
1438,19-01-2014,whole milk,2
4290,26-03-2014,soda,5
1818,8/12/2014,other vegetables,4
1176,4/8/2014,hard cheese,2
4879,19-09-2014,butter milk,5
1574,17-06-2014,soda,5
1045,10/4/2014,fruit/vegetable juice,4
1168,31-10-2014,sweet spreads,1
4648,3/10/2014,onions,1
1931,4/3/2014,pip fruit,1
2868,4/3/2014,pastry,2
3082,22-07-2014,canned beer,4
2935,21-04-2014,whole milk,2
2639,8/6/2014,bottled beer,3
2789,12/7/2014,white bread,5
4153,14-02-2014,whole milk,2
3761,12/2/2014,tropical fruit,4
4444,25-04-2014,other vegetables,4
2824,5/9/2014,pip fruit,1
1146,12/7/2014,bottled water,4
4796,2/3/2014,rolls/buns,3
4586,26-09-2014,whole milk,2
1987,29-10-2014,rolls/buns,3
4376,7/12/2014,other vegetables,4
2511,18-06-2014,whole milk,2
3364,6/5/2014,beef,3
4471,8/10/2014,whole milk,2
2022,23-02-2014,cat food,4
1097,16-04-2014,sausage,2
1510,3/12/2014,beef,3
1521,26-12-2014,ham,1
2601,28-02-2014,soda,5
1314,5/9/2014,canned beer,4
3657,28-11-2014,whole milk,2
4693,8/6/2014,onions,1
3095,22-07-2014,onions,1
1274,25-04-2014,tidbits,2
2164,19-11-2014,whole milk,2
2447,14-04-2014,whole milk,2
3778,22-11-2014,bottled beer,3
4219,21-09-2014,citrus fruit,4
4382,1/3/2014,fruit/vegetable juice,4
2612,30-07-2014,white bread,5
3899,27-01-2014,soda,5
4318,9/8/2014,domestic eggs,3
1305,26-07-2014,spread cheese,2
4991,22-12-2014,other vegetables,4
2998,30-10-2014,grapes,2
3327,16-07-2014,semi-finished bread,1
4115,8/2/2014,other vegetables,4
1201,24-11-2014,misc. beverages,5
1595,27-06-2014,beef,3
2017,12/11/2014,tropical fruit,4
3142,11/5/2014,other vegetables,4
4862,12/10/2014,beef,3
4245,13-09-2014,rolls/buns,3
2570,19-06-2014,frozen potato products,2
2839,29-06-2014,beef,3
3626,11/6/2014,bottled beer,3
2119,6/7/2014,onions,1
3409,8/9/2014,soda,5
1842,30-05-2014,vinegar,1
1568,9/3/2014,nuts/prunes,2
3050,3/5/2014,dessert,2
2577,28-06-2014,sausage,2
